date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:12:11	315/315	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2010%20Apr%202020%2007:12:12%20GMT	http://demo.acosmin.com/themes/justwrite	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite.0.delayed	(from )
03:12:13	174216/174216	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2001:50:25%20GMT	http://demo.acosmin.com/themes/justwrite/	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/index.html	(from )
03:12:17	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2007:39:23%20GMT	http://demo.acosmin.com/robots.txt		(from )
03:12:19	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2010%20Apr%202020%2007:12:18%20GMT	http://demo.acosmin.com/themes/justwrite/xmlrpc.php	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/xmlrpc.php	(from http://demo.acosmin.com/themes/justwrite/)
03:12:20	26711/26711	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Oct%202015%2015:01:16%20GMT	http://demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/assets/icons/css/font-awesome.min.css?ver=4.4.0	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/assets/icons/css/font-awesome.min474a.css	(from http://demo.acosmin.com/themes/justwrite/)
03:12:21	114300/114300	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202016%2016:43:00%20GMT	http://demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/style.css?ver=2.0	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/styled5f7.css	(from http://demo.acosmin.com/themes/justwrite/)
03:12:22	4054/4054	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Oct%202015%2015:01:08%20GMT	http://demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/assets/css/font-style5.css	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/assets/css/font-style5.css	(from http://demo.acosmin.com/themes/justwrite/)
03:12:23	4612/4612	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2010%20Apr%202020%2007:12:20%20GMT	http://demo.acosmin.com/themes/justwrite/comments/feed/	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/comments/feed/index.html	(from http://demo.acosmin.com/themes/justwrite/)
03:12:25	2432/2432	---M--	200	added ('OK')	application/javascript	date:Thu,%2029%20Oct%202015%2015:01:10%20GMT	http://demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/assets/js/html5.js?ver=3.7.0	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/assets/js/html53088.js	(from http://demo.acosmin.com/themes/justwrite/)
03:12:25	10056/10056	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Jul%202016%2018:16:07%20GMT	http://demo.acosmin.com/themes/justwrite/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://demo.acosmin.com/themes/justwrite/)
03:12:26	932/932	---M--	200	added ('OK')	text/xml	date:Fri,%2010%20Apr%202020%2007:12:26%20GMT	http://demo.acosmin.com/themes/justwrite/xmlrpc.php?rsd	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/xmlrpc0db0.php	(from http://demo.acosmin.com/themes/justwrite/)
03:12:26	1105/1105	---MC-	200	added ('OK')	application/json	date:Fri,%2010%20Apr%202020%2007:12:26%20GMT	http://demo.acosmin.com/themes/justwrite/wp-json/	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-json/index.html	(from http://demo.acosmin.com/themes/justwrite/)
03:12:27	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	http://demo.acosmin.com/themes/justwrite/wp-includes/wlwmanifest.xml	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-includes/wlwmanifest.xml	(from http://demo.acosmin.com/themes/justwrite/)
03:12:28	74049/74049	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2009:50:53%20GMT	http://demo.acosmin.com/themes/justwrite/new-simple-page-for-you/	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/new-simple-page-for-you/index.html	(from http://demo.acosmin.com/themes/justwrite/)
03:12:29	40401/40401	---M--	200	added ('OK')	application/javascript	date:Thu,%2029%20Oct%202015%2015:01:14%20GMT	http://demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/assets/js/owl.carousel.min.js?ver=2.0.0	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-content/themes/justwrite/assets/js/owl.carousel.min001e.js	(from http://demo.acosmin.com/themes/justwrite/)
03:12:31	48010/48010	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2014:56:13%20GMT	http://demo.acosmin.com/themes/justwrite/new-full-width-simple-page/	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/new-full-width-simple-page/index.html	(from http://demo.acosmin.com/themes/justwrite/)
03:12:32	96874/96874	---M--	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2009:22:16%20GMT	http://demo.acosmin.com/themes/justwrite/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-includes/js/jquery/jqueryb8ff.js	(from http://demo.acosmin.com/themes/justwrite/)
03:12:33	37098/37098	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Oct%202015%2012:38:13%20GMT	http://demo.acosmin.com/themes/justwrite/wp-content/uploads/2015/10/house_of_cards_frank_underwood_kevin_spacey_102090_3840x2160.jpg	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/wp-content/uploads/2015/10/house_of_cards_frank_underwood_kevin_spacey_102090_3840x2160.jpg	(from http://demo.acosmin.com/themes/justwrite/)
03:12:34	71370/71370	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2004:57:34%20GMT	http://demo.acosmin.com/themes/justwrite/typography-and-headings-go-so-well-together-all-the-time/	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/typography-and-headings-go-so-well-together-all-the-time/index.html	(from http://demo.acosmin.com/themes/justwrite/)
03:12:35	158419/158419	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2014:56:25%20GMT	http://demo.acosmin.com/themes/justwrite/widgetized-index/	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/widgetized-index/index.html	(from http://demo.acosmin.com/themes/justwrite/)
03:12:36	98043/98043	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2007:00:18%20GMT	http://demo.acosmin.com/themes/justwrite/slider-1/	C:/Users/gabriel/Desktop/Github/TEMPLATES/Template%20Nasa/demo.acosmin.com/themes/justwrite/slider-1/index.html	(from http://demo.acosmin.com/themes/justwrite/)
